Alloy,Composition,Average_r,e/a,delta_r,delta_X,Smix,Hmix,Average_T,sws,B,C11,C12,C,C44,BV,GV,EV,vV,BR,GR,ER,vR,BH,GH,EH,vH,AVR,B/G,AZ,CP
TiVZrW,25252525,1.4125,4.75,0.05803042941860174,0.2262247899074792,11.52565131835077,-5.300000000000002,2486.75,3.02002586375,142.796002623,213.73,107.33,53.2,61.9,142.8,58.42,154.24,0.3199950700464238,142.8,58.1,153.49,0.320863309352518,142.8,58.26,153.87,0.3204291896994709,0.0027463096464126354,2.4510813594232754,1.163533834586466,45.43
TiVNbMo,25252525,1.4125,5.0,0.029350661861552125,0.1436855599079449,11.52565131835077,-2.5,2442.5,2.95802753732,164.778906121,266.73,113.8,76.46,49.96,164.78,60.56,161.86,0.3362948278969184,164.78,58.0,155.73,0.34248832241010974,164.78,59.28,158.8,0.33939157515351404,0.021592442645074244,2.779689608636977,0.6534135495684018,63.839999999999996
TiVNbHf,25252525,1.4375,4.5,0.05144417202695318,0.08546103689847076,11.52565131835077,0.29999999999999993,2345.0,3.0536506325099997,136.872773402,187.18,111.72,37.73,60.44,136.87,51.35,136.94,0.33326478482985544,136.87,48.71,130.64,0.3409278934076461,136.87,50.03,133.8,0.3370963391187508,0.026384169498301024,2.735758544873076,1.6019082957858468,51.28
TiVNbTa,25252525,1.4125,4.75,0.029350661861552125,0.032333548537022784,11.52565131835077,-0.07500000000000001,2541.0,3.01271527945,149.402902104,221.17,113.52,53.83,60.26,149.4,57.69,153.33,0.32894502757516453,149.4,57.51,152.91,0.3294180459156434,149.4,57.6,153.12,0.32918153674540396,0.0015624999999999977,2.59375,1.1194501207505108,53.26
TiVNbW,25252525,1.3875000000000002,5.0,0.029879502615814343,0.1879330555466533,11.52565131835077,-3.875,2642.25,2.96941606324,174.38576540900002,275.26,123.95,75.66,62.92,174.39,68.01,180.57,0.3274383436516797,174.39,67.46,179.27,0.3286744662479048,174.39,67.74,179.92,0.32805640494979227,0.00405993946999344,2.574402125775022,0.8316151202749141,61.03
TiVMoHf,25252525,1.4375,4.75,0.05144417202695318,0.18955981959867346,11.52565131835077,-2.825,2381.5,3.00431327074,152.67057587,224.85,116.58,54.14,60.11,152.67,57.72,153.79,0.33212145890291433,152.67,57.57,153.43,0.3325090189689282,152.67,57.65,153.61,0.3323152389359213,0.0013010668748373545,2.6482220294882914,1.1102696712227558,56.47
TiVMoTa,25252525,1.4125,5.0,0.029350661861552125,0.15546676853290853,11.52565131835077,-2.45,2577.5,2.9668467898400004,171.641575486,270.79,122.07,74.36,64.01,171.64,68.15,180.56,0.3246779974960124,171.64,67.79,179.7,0.32549638756843025,171.64,67.97,180.13,0.3250871925322213,0.0026482271590407493,2.525231719876416,0.8608122646584185,58.05999999999999
TiVMoW,25252525,1.3875000000000002,5.25,0.029879502615814343,0.180126328937586,11.52565131835077,-3.0,2678.75,2.92750249264,198.93638669,331.56,132.62,99.47,72.14,198.94,83.07,218.77,0.3167277059524335,198.94,81.05,214.07,0.3206514523433696,198.94,82.06,216.42,0.3186895791479015,0.012308067267852767,2.4243236656105287,0.7252437920981201,60.480000000000004
TiVHfTa,25252525,1.4375,4.5,0.05144417202695318,0.08087174341422654,11.52565131835077,-0.10000000000000007,2480.0,3.06080999628,143.044962054,189.14,120.0,34.57,71.92,143.04,56.98,150.9,0.32417198107385314,143.04,50.21,134.86,0.3428744288903261,143.04,53.6,142.94,0.33352320498208965,0.06315887676089184,2.6686567164179102,2.08041654613827,48.08
TiVHfW,25252525,1.4125,4.75,0.05803042941860174,0.2316610893348701,11.52565131835077,-4.15,2581.25,3.01407960828,162.38954589600002,234.56,126.31,54.13,73.17,162.39,65.56,173.34,0.3220831147214734,162.39,64.15,170.05,0.32546434012914455,162.39,64.85,171.7,0.32377372742530897,0.010870403207154395,2.5040863531225908,1.351745797154997,53.14
TiVTaW,25252525,1.3875000000000002,5.0,0.029879502615814343,0.19972989131700108,11.52565131835077,-3.8,2777.25,2.97687703389,180.89884613799998,278.99,131.85,73.57,76.92,180.9,75.58,199.02,0.31663647538332146,180.9,75.54,198.94,0.31672166149068326,180.9,75.56,198.98,0.31667906843700233,0.0002646903123345159,2.3941238750661724,1.0455348647546556,54.92999999999999
TiCrZrNb,25252525,1.45,4.75,0.042232581772123835,0.08115721346709785,11.52565131835077,-5.25,2249.75,3.02555093893,121.883347699,185.98,89.83,48.07,45.81,121.88,46.72,124.28,0.33005141138810745,121.88,46.69,124.21,0.33014818228118253,121.88,46.7,124.24,0.33009979683464497,0.00032116475752062026,2.609850107066381,0.9529852298731017,44.019999999999996
TiCrZrMo,25252525,1.45,5.0,0.042232581772123835,0.18250257983213453,11.52565131835077,-7.275,2286.25,2.9759753072099997,140.747190017,231.22,95.51,67.86,49.14,140.75,56.63,149.79,0.3226173571667223,140.75,55.24,146.54,0.326467570001466,140.75,55.93,148.17,0.3245424635840941,0.012425136318941633,2.5165385303057395,0.7241379310344828,46.370000000000005
TiCrZrHf,25252525,1.475,4.5,0.05084745762711868,0.1022707045335426,11.52565131835077,-7.25,2188.75,3.07697364916,119.07746653,161.62,97.81,31.9,59.96,119.08,48.74,128.66,0.3199172373023301,119.08,44.36,118.37,0.33431274900398406,119.08,46.55,123.54,0.32711499315315706,0.047046186895810985,2.558109559613319,1.8796238244514107,37.85
TiCrZrTa,25252525,1.45,4.75,0.042232581772123835,0.07840097282635362,11.52565131835077,-5.575,2384.75,3.0345884331299997,128.206663009,189.39,97.62,45.88,58.55,128.21,53.49,140.87,0.31686524239934266,128.21,52.73,139.12,0.31915355770989573,128.21,53.11,139.99,0.3180094000546192,0.007154961400866175,2.414046318960648,1.27615518744551,39.07000000000001
TiCrZrW,25252525,1.4249999999999998,5.0,0.05263157894736848,0.2244105751783607,11.52565131835077,-8.375,2486.0,2.9882153270200003,149.917019453,238.97,105.39,66.79,60.63,149.92,63.1,166.0,0.3154467106032835,149.92,62.95,165.67,0.3158315617015467,149.92,63.02,165.83,0.3156391361524151,0.0011900039666798774,2.378927324658838,0.9077706243449618,44.76
TiCrNbMo,25252525,1.425,5.25,0.01754385964912275,0.14147739798955375,11.52565131835077,-5.4,2441.75,2.9271469898,175.022275565,300.09,112.49,93.8,54.54,175.02,70.25,185.87,0.32299138264097693,175.02,65.51,174.73,0.3336099022977801,175.02,67.88,180.32,0.3283006424693785,0.03491455509723037,2.5783736004714206,0.5814498933901919,57.949999999999996
TiCrNbHf,25252525,1.45,4.75,0.042232581772123835,0.08961082208994389,11.52565131835077,-4.4750000000000005,2344.25,3.0205011125,141.03819748700002,206.87,108.12,49.37,57.18,141.04,54.06,143.8,0.33006412674462465,141.04,53.78,143.15,0.3308450408890753,141.04,53.92,143.48,0.33045458381685,0.002596439169139476,2.615727002967359,1.1581932347579502,50.940000000000005
TiCrNbTa,25252525,1.425,5.0,0.01754385964912275,0.03849001794597502,11.52565131835077,-4.5,2540.25,2.9803502264099997,156.988167473,246.45,112.26,67.09,58.24,156.99,61.78,163.85,0.3260534960112623,156.99,61.49,163.16,0.3267757202418961,156.99,61.63,163.5,0.3264146081265792,0.0023525594224060933,2.5472983936394615,0.8680876434640036,54.02
TiCrNbW,25252525,1.4,5.25,0.025253813613805257,0.18537050305069336,11.52565131835077,-6.425,2641.5,2.93945202987,183.399187916,305.5,122.35,91.58,65.27,183.4,75.8,199.86,0.318370607028754,183.4,73.75,195.09,0.3227021395945188,183.4,74.77,197.48,0.3205363733116364,0.013707790036776978,2.4528554232981143,0.7127101987333478,57.08
TiCrMoHf,25252525,1.45,5.0,0.042232581772123835,0.18847283224640488,11.52565131835077,-5.95,2380.75,2.9736692484900002,161.294435988,252.64,115.62,68.51,60.84,161.29,63.91,169.36,0.324993610573588,161.29,63.69,168.85,0.325525969756739,161.29,63.8,169.11,0.3252597901651635,0.0017241379310344738,2.5280564263322884,0.888045540796964,54.78
TiCrMoTa,25252525,1.425,5.25,0.01754385964912275,0.15369160761629394,11.52565131835077,-5.225,2576.75,2.93616606774,180.698374937,301.16,120.47,90.34,66.38,180.7,75.96,199.88,0.3156489661197942,180.7,74.26,195.93,0.3192776948536569,180.7,75.11,197.91,0.3174633304867256,0.011316735454666414,2.4058048195979227,0.7347797210537967,54.09
TiCrMoW,25252525,1.4,5.5,0.025253813613805257,0.17624198291911866,11.52565131835077,-3.9,2678.0,2.9000316710900003,211.14056794099997,373.28,130.07,121.6,81.75,211.14,97.69,253.92,0.2995718838478478,211.14,94.09,245.76,0.3060026666300119,211.14,95.89,249.85,0.30278727523892984,0.018771509020752915,2.2018980081343202,0.6722861842105263,48.31999999999999
TiCrHfTa,25252525,1.45,4.75,0.042232581772123835,0.08640987597877146,11.52565131835077,-4.750000000000001,2479.25,3.02879907447,147.592568615,209.99,116.39,46.8,69.51,147.59,60.42,159.51,0.31988910749418703,147.59,58.21,154.34,0.3257116052537028,147.59,59.32,156.93,0.3228003563739449,0.01862935176599512,2.4880310182063385,1.4852564102564105,46.879999999999995
TiCrHfW,25252525,1.4249999999999998,5.0,0.05263157894736848,0.2299143923281909,11.52565131835077,-6.925000000000002,2580.5,2.98443601477,171.693691358,261.49,126.79,67.35,72.48,171.69,70.43,185.87,0.3195644748078565,171.69,70.34,185.65,0.3197673425462496,171.69,70.38,185.76,0.319665908677053,0.0006393407686297038,2.4394714407502134,1.0761692650334078,54.31
TiCrTaW,25252525,1.4,5.25,0.025253813613805257,0.19746891691607305,11.52565131835077,-6.225,2776.5,2.9475512174699996,189.81247375,307.85,130.79,88.53,77.45,189.81,81.88,214.77,0.3114262025763462,189.81,81.53,213.97,0.3121313137519971,189.81,81.71,214.37,0.31177875816417167,0.0021418517838565224,2.322971484518419,0.8748446854173727,53.33999999999999
TiZrNbMo,25252525,1.4625,4.75,0.037255546525988725,0.18518897673919574,11.52565131835077,-2.45,2428.75,3.07579165549,135.086184395,209.06,98.1,55.48,49.69,135.09,52.01,138.27,0.3293933694891532,135.09,51.86,137.92,0.3298295889571894,135.09,51.93,138.1,0.3296114792231713,0.0014441128333493652,2.6013864818024266,0.8956380677721701,48.41
TiZrNbHf,25252525,1.4875,4.25,0.04366514640929951,0.08990441836632884,11.52565131835077,2.4,2331.25,3.16817628449,125.31866465899999,160.66,107.65,26.51,66.31,125.32,50.39,133.3,0.32271607833939253,125.32,41.43,111.95,0.3511104722202257,125.32,45.91,122.73,0.3369132752798091,0.09758222609453279,2.7296885210193857,2.5013202565069785,41.34
TiZrNbTa,25252525,1.4625,4.5,0.037255546525988725,0.06723159879527464,11.52565131835077,2.45,2527.25,3.1297763073900002,127.41424840799999,176.26,102.99,36.63,61.6,127.41,51.62,136.42,0.3215281779416849,127.41,48.41,128.89,0.331378877949099,127.41,50.01,132.67,0.32645352794539195,0.032090372888133566,2.5476904619076186,1.6816816816816815,41.38999999999999
TiZrNbW,25252525,1.4375,4.75,0.05144417202695318,0.2283055311583457,11.52565131835077,-4.35,2628.5,3.08223492597,144.551695429,216.64,108.51,54.07,59.68,144.55,57.44,152.15,0.3245535441568756,144.55,57.3,151.84,0.3249312557286893,144.55,57.37,152.0,0.3247423999427824,0.001220149904131084,2.5196095520306785,1.103754392454226,48.830000000000005
TiZrMoHf,25252525,1.4875,4.5,0.04366514640929951,0.21864390140007453,11.52565131835077,-3.5,2367.75,3.1203129332999997,135.12678459999998,189.2,108.09,40.55,63.28,135.13,54.19,143.39,0.32313199007789717,135.13,51.69,137.53,0.3303688632186926,135.13,52.94,140.47,0.3267504266482949,0.023611635814129204,2.5525122780506235,1.560542540073983,44.81
TiZrMoTa,25252525,1.4625,4.75,0.037255546525988725,0.19270627321392508,11.52565131835077,-2.7,2563.75,3.08151543333,141.611408599,213.23,105.8,53.71,61.76,141.61,58.54,154.35,0.3183379191923371,141.61,58.27,153.72,0.3190747257296626,141.61,58.4,154.03,0.31870632246099984,0.002311445937847753,2.4248287671232878,1.1498789797058275,44.04
TiZrMoW,25252525,1.4375,5.0,0.05144417202695318,0.2300684533000712,11.52565131835077,-6.249999999999999,2665.0,3.03781065965,161.968239678,261.44,112.23,74.6,65.03,161.97,68.86,180.93,0.31381473403392396,161.97,68.55,180.22,0.31454929120225084,161.97,68.7,180.58,0.3141820126180874,0.002256022123571809,2.35764192139738,0.87171581769437,47.2
TiZrHfTa,25252525,1.4875,4.25,0.04366514640929951,0.07337793320181553,11.52565131835077,1.7000000000000002,2466.25,3.1730066948799998,128.755693005,160.07,113.1,23.48,76.17,128.76,55.09,144.65,0.3127761288714684,128.76,40.14,109.09,0.3588011819333052,128.76,47.62,127.18,0.3357886554023868,0.1569883440092408,2.7039059218815624,3.2440374787052813,36.92999999999999
TiZrHfW,25252525,1.4625,4.5,0.0610378498166055,0.2634486581505657,11.52565131835077,-5.35,2567.5,3.12527982175,144.673565469,197.46,118.28,39.59,73.48,144.67,59.93,157.97,0.3180042110377779,144.67,54.74,145.83,0.332,144.67,57.33,151.93,0.325002105518889,0.045260312200226714,2.523460666317809,1.856024248547613,44.8
TiZrTaW,25252525,1.4375,4.75,0.05144417202695318,0.23716032242960425,11.52565131835077,-4.574999999999998,2763.5,3.0871012837299996,151.09556687,222.18,115.55,53.31,72.62,151.1,64.9,170.31,0.3121381705905056,151.1,63.43,166.94,0.31587095775356566,151.1,64.17,168.63,0.3140045641720356,0.011454842982934667,2.3546828736169547,1.362220971675108,42.92999999999999
TiNbMoHf,25252525,1.4625,4.75,0.03725554652598865,0.19098122735259068,11.52565131835077,-1.8000000000000005,2523.25,3.0681602132999997,156.13065324,233.35,117.52,57.92,61.85,156.13,60.28,160.22,0.32896703047269565,156.13,60.22,160.07,0.3291178751820813,156.13,60.25,160.14,0.3290424528273885,0.0004979253112033384,2.591369294605809,1.0678522099447514,55.669999999999995
TiNbMoTa,25252525,1.4375,5.0,0.015061311370164159,0.15762071772910902,11.52565131835077,-2.7,2719.25,3.02992038073,169.48406078600001,269.63,119.41,75.11,63.18,169.48,67.95,179.82,0.3231666059438921,169.48,67.47,178.69,0.3242694170964213,169.48,67.71,179.26,0.3237180115201567,0.003544528134692098,2.5030276177817163,0.8411662894421515,56.23
TiNbMoW,25252525,1.4125,5.25,0.029350661861552118,0.1842350638362206,11.52565131835077,-5.375,2820.5,2.9906554736400004,194.655137012,327.67,128.15,99.76,70.99,194.66,82.5,216.86,0.314323010442924,194.66,80.25,211.65,0.3187751230748385,194.66,81.37,214.26,0.3165490667588813,0.013824884792626729,2.392282167875138,0.711607858861267,57.16000000000001
TiNbHfTa,25252525,1.4625,4.5,0.03725554652598865,0.07581367171176903,11.52565131835077,2.6,2621.75,3.1203367624699996,131.865172654,183.51,106.04,38.73,72.44,131.87,58.96,153.93,0.30544250610467033,131.87,53.73,141.93,0.3206369341701162,131.87,56.35,147.96,0.31303972013739323,0.046410506699795934,2.34019520851819,1.8703847146914538,33.60000000000001
TiNbHfW,25252525,1.4375,4.75,0.05144417202695318,0.2336708713651905,11.52565131835077,-3.575,2723.0,3.07473948917,165.513374898,241.62,127.46,57.08,72.79,165.51,66.5,175.95,0.32283359678880347,165.51,65.57,173.76,0.3250222380359366,165.51,66.04,174.86,0.32392791741237004,0.007041720299841046,2.506208358570563,1.2752277505255782,54.66999999999999
TiNbTaW,25252525,1.4125,5.0,0.029350661861552118,0.20227280023346125,11.52565131835077,-4.5,2919.0,3.0367155833599995,179.456228237,279.07,129.65,74.71,74.76,179.46,74.74,196.89,0.31714835594989566,179.46,74.74,196.89,0.31714835594989566,179.46,74.74,196.89,0.31714835594989566,0.0,2.4011238961734014,1.0006692544505422,54.89
TiMoHfTa,25252525,1.4625,4.75,0.03725554652598865,0.1981452458716546,11.52565131835077,-2.0,2658.25,3.0719097016400005,154.272146969,228.72,117.05,55.83,73.91,154.27,66.68,174.84,0.31110124837107406,154.27,65.43,171.99,0.3142037710131758,154.27,66.06,173.42,0.31265250969212494,0.00946181212625842,2.3353012412957916,1.323840229267419,43.14
TiMoHfW,25252525,1.4375,5.0,0.05144417202695318,0.2360222907674833,11.52565131835077,-4.925,2759.5,3.03287767819,181.64106835099997,282.5,131.21,75.65,76.89,181.64,76.39,200.99,0.3155751557193671,181.64,76.39,200.98,0.3155751557193671,181.64,76.39,200.99,0.3155751557193671,0.0,2.377798141117947,1.016391275611368,54.32000000000001
TiMoTaW,25252525,1.4125,5.25,0.029350661861552118,0.19945054841238904,11.52565131835077,-5.1,2955.5,2.99640641532,201.05054630400002,330.26,136.44,96.91,81.77,201.05,87.82,229.98,0.3093549647596857,201.05,87.22,228.6,0.31049292408418677,201.05,87.52,229.29,0.30992394442193627,0.0034277879341864394,2.2971892138939674,0.8437725724899391,54.67
TiHfTaW,25252525,1.4375,4.75,0.05144417202695318,0.2422696571336457,11.52565131835077,-3.75,2858.0,3.07940371809,171.36215115,243.97,135.06,54.46,84.25,171.36,72.33,190.23,0.3149843965825958,171.36,69.12,182.79,0.32222222222222224,171.36,70.73,186.52,0.318603309402409,0.022693531283138876,2.4227343418634244,1.5470069775982371,50.81
VCrZrNb,25252525,1.4375,5.0,0.05144417202695318,0.08464595872082424,11.52565131835077,-5.5,2310.25,2.97175330331,135.579743621,220.21,93.26,63.47,36.74,135.58,47.44,127.44,0.34332203091285396,135.58,44.19,119.57,0.35300379216286343,135.58,45.81,123.52,0.3481629115378587,0.03546873294772455,2.9596158044095175,0.5788561525129983,56.52
VCrZrMo,25252525,1.4375,5.25,0.05144417202695318,0.17573299125199388,11.52565131835077,-5.875,2346.75,2.9263861999799996,157.83694142,275.42,99.05,88.19,46.66,157.84,63.27,167.43,0.3231990163751187,157.84,57.48,153.78,0.3376271186440678,157.84,60.38,160.65,0.33041306750959326,0.04795031055900626,2.614110632659821,0.5290849302642022,52.39
VCrZrHf,25252525,1.4625,4.75,0.0610378498166055,0.1119462265255465,11.52565131835077,-7.35,2249.25,3.0226720296,125.252855716,186.04,94.86,45.59,53.09,125.25,50.09,132.59,0.3235604922036446,125.25,49.81,131.94,0.3244313375317229,125.25,49.95,132.27,0.32399591486768375,0.002802802802802814,2.5075075075075075,1.1645097609124808,41.769999999999996
VCrZrTa,25252525,1.4375,5.0,0.05144417202695318,0.08509291873393159,11.52565131835077,-5.675,2445.25,2.982561299,141.803465772,224.14,100.64,61.75,51.48,141.8,55.59,147.49,0.32663880745961454,141.8,55.15,146.45,0.32785350119654566,141.8,55.37,146.97,0.32724615432808013,0.003973270724218934,2.560953584973813,0.8336842105263157,49.160000000000004
VCrZrW,25252525,1.4125,5.25,0.05803042941860174,0.21649835186090066,11.52565131835077,-6.65,2546.5,2.9405228553600002,166.32957435,279.77,109.61,85.08,56.67,166.33,68.04,179.62,0.32000952330564514,166.33,65.41,173.48,0.3261605244507441,166.33,66.72,176.56,0.3230850238781946,0.01970775571375054,2.492955635491607,0.6660789844851904,52.94
VCrNbMo,25252525,1.4125,5.5,0.029350661861552125,0.13076598744959764,11.52565131835077,-3.875,2502.25,2.8821168637400003,195.73351922,366.58,110.31,128.14,63.87,195.73,89.58,233.16,0.30145396515803,195.73,79.9,210.99,0.32033908468122735,195.73,84.74,222.15,0.3108965249196287,0.057115883880103795,2.3097710644323812,0.49843920711721557,46.440000000000005
VCrNbHf,25252525,1.4375,5.0,0.05144417202695318,0.09335069604648573,11.52565131835077,-4.450000000000001,2404.75,2.97067271843,157.31596495600002,243.16,114.39,64.38,50.37,157.32,55.98,150.13,0.34094783498124787,157.32,55.18,148.2,0.34298288879614525,157.32,55.58,149.17,0.34196536188869653,0.00719683339330692,2.8305145735876214,0.7823858341099721,64.02000000000001
VCrNbTa,25252525,1.4125,5.25,0.029350661861552125,0.037656367497702535,11.52565131835077,-4.475,2600.75,2.9327198045599996,175.790432772,285.04,121.17,81.93,49.59,175.79,62.53,167.7,0.340998474317681,175.79,58.89,158.93,0.34932453177770956,175.79,60.71,163.33,0.3451615030476953,0.02997858672376874,2.895569098995223,0.6052727938484072,71.58
VCrNbW,25252525,1.3875000000000002,5.5,0.029879502615814343,0.17479187556115947,11.52565131835077,-4.575,2702.0,2.8959761633700003,204.814995405,367.09,123.68,121.7,70.11,204.81,90.75,237.21,0.3069641793584617,204.81,84.43,222.68,0.31878344732850644,204.81,87.59,229.98,0.3128738133434841,0.036077177760018224,2.3382806256421964,0.576088742810189,53.57000000000001
VCrMoHf,25252525,1.4375,5.25,0.05144417202695318,0.18204146409597394,11.52565131835077,-4.275,2441.25,2.9280232608,179.44191885599997,294.74,121.79,86.48,58.01,179.44,69.4,184.42,0.3287040084249325,179.44,66.81,178.3,0.3343909573149571,179.44,68.1,181.36,0.33154748286994484,0.019014756625798424,2.6349486049926583,0.670790934320074,63.78000000000001
VCrMoTa,25252525,1.4125,5.5,0.029350661861552125,0.14459536820446567,11.52565131835077,-3.5500000000000003,2637.25,2.89203082161,202.49468847400001,361.8,122.84,119.48,70.6,202.49,90.15,235.5,0.3061623806656919,202.49,84.41,222.34,0.31699861247615196,202.49,87.28,228.94,0.3115804965709219,0.03288267644362975,2.320004582951421,0.5908938734516236,52.24000000000001
VCrMoW,25252525,1.3875000000000002,5.75,0.029879502615814343,0.16169197404721694,11.52565131835077,-0.4,2738.5,2.8620682943799998,236.31994066400003,446.05,131.45,157.3,100.71,236.32,123.34,315.2,0.27771236333052984,236.32,117.64,302.69,0.2865231067021534,236.32,120.49,308.96,0.28211773501634163,0.02365341522118019,1.961324591252386,0.6402415766052129,30.739999999999995
VCrHfTa,25252525,1.4375,5.0,0.05144417202695318,0.09316294221677687,11.52565131835077,-4.575,2539.75,2.9804240246499996,160.072499344,243.14,118.54,62.3,64.75,160.07,63.77,168.89,0.32415713813007835,160.07,63.75,168.83,0.3242058239576439,160.07,63.76,168.86,0.32418148104386113,0.00015683814303641094,2.510508155583438,1.0393258426966292,53.790000000000006
VCrHfW,25252525,1.4125,5.25,0.05803042941860174,0.22224976682341294,11.52565131835077,-4.925000000000002,2641.0,2.94025589184,186.466404958,298.86,130.27,84.3,68.93,186.47,75.08,198.58,0.3225031127362133,186.47,74.35,196.89,0.3240264453420853,186.47,74.71,197.73,0.3232647790391493,0.004885230542729063,2.4959175478516933,0.8176749703440096,61.34
VCrTaW,25252525,1.3875000000000002,5.5,0.029879502615814343,0.1879493409552536,11.52565131835077,-4.225,2837.0,2.90416509474,211.501071532,362.21,136.15,113.03,77.45,211.5,91.68,240.33,0.3106254647608031,211.5,88.61,233.26,0.3161897913180567,211.5,90.15,236.8,0.3134076280394299,0.0170281213600311,2.3460898502495837,0.6852163142528532,58.7
VZrNbMo,25252525,1.4500000000000002,5.0,0.048765984909417054,0.17901730049788764,11.52565131835077,-3.175,2489.25,3.02773680976,147.233763241,241.01,100.35,70.33,42.3,147.23,53.51,143.19,0.3379139741518578,147.23,50.32,135.53,0.34658848397390296,147.23,51.92,139.37,0.3422512290628804,0.030723297698160432,2.835708782742681,0.601450305701692,58.05
VZrNbHf,25252525,1.475,4.5,0.056213979497549096,0.1028997503869033,11.52565131835077,0.17499999999999982,2391.75,3.1208815519599997,130.06147893899998,179.96,105.11,37.42,57.6,130.06,49.53,131.85,0.3310363648768506,130.06,47.38,126.75,0.3375765609287869,130.06,48.45,129.31,0.33430646290281874,0.02218553296873386,2.6844169246646024,1.53928380545163,47.51
VZrNbTa,25252525,1.4500000000000002,4.75,0.048765984909417054,0.07732920471194707,11.52565131835077,0.225,2587.75,3.08114857241,136.558498634,203.89,102.89,50.5,54.62,136.56,52.97,140.71,0.32826110450664653,136.56,52.89,140.53,0.32849082301057136,136.56,52.93,140.62,0.32837596375860895,0.0007557150954090147,2.5800113357264314,1.0815841584158414,48.27
VZrNbW,25252525,1.4250000000000005,5.0,0.05818639983079647,0.2208289190161048,11.52565131835077,-4.75,2689.0,3.03638070142,156.627356373,250.16,109.86,70.15,53.97,156.63,60.44,160.65,0.3290498368940094,156.63,59.45,158.32,0.3315354970340424,156.63,59.94,159.49,0.3302926669640259,0.008257569438652055,2.6131131131131133,0.769351389878831,55.89
